target,context,label
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
24,24,1
24,24,1
24,24,1
24,24,1
7,15,1
7,19,1
15,7,1
15,19,1
15,24,1
19,7,1
19,15,1
19,24,1
24,15,1
24,19,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
19,24,1
24,19,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
19,24,1
24,19,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,24,1
24,7,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
19,7,1
7,19,1
7,7,1
7,7,1
24,7,1
7,24,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
24,7,1
7,24,1
7,7,1
7,7,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,24,1
24,7,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
7,15,1
7,19,1
15,7,1
15,19,1
19,7,1
19,15,1
24,24,1
24,24,1
7,7,1
7,7,1
24,24,1
24,24,1
24,7,1
7,24,1
24,24,1
24,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,24,1
24,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
24,24,1
24,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,24,1
24,24,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
24,24,1
24,24,1
7,24,1
24,7,1
24,24,1
24,24,1
24,24,1
24,24,1
7,24,1
24,7,1
24,7,1
7,24,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
24,24,1
24,24,1
24,24,1
24,24,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
24,24,1
24,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
24,24,1
24,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,7,1
7,24,1
24,24,1
24,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
24,24,1
24,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
24,24,1
24,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
24,24,1
24,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,24,1
24,24,1
7,7,1
7,7,1
20,7,1
7,20,1
7,24,1
24,7,1
24,24,1
24,24,1
24,24,1
24,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
24,24,1
24,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
24,7,1
7,24,1
24,7,1
7,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,24,1
24,24,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
24,7,1
7,24,1
24,7,1
7,24,1
7,24,1
24,7,1
24,24,1
24,24,1
24,7,1
7,24,1
24,7,1
7,24,1
24,24,1
24,24,1
24,7,1
7,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
24,24,1
24,24,1
7,7,1
7,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
7,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
24,7,1
7,24,1
24,24,1
24,24,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,7,1
7,7,1
7,24,1
24,7,1
24,7,1
7,24,1
7,24,1
24,7,1
7,24,1
24,7,1
7,7,1
7,7,1
7,24,1
24,7,1
7,7,1
7,7,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,24,1
24,7,1
7,24,1
7,7,1
7,7,1
7,7,1
7,7,1
21,11,1
11,21,1
21,4,1
4,21,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
24,24,1
24,24,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
21,21,1
8,24,1
24,8,1
8,8,1
8,8,1
24,4,1
4,24,1
7,7,1
7,7,1
19,21,1
7,7,1
7,20,1
24,15,1
7,10,1
